user_id,age,gender,city,income_level,device_type,remittance_receiver,preferred_category,signup_date
1,25,Female,Pokhara,Low,Mobile,True,Home & Kitchen,2022-06-22
2,23,Female,Biratnagar,Low,Tablet,False,Fashion,2022-02-08
3,22,Male,Bhaktapur,Medium,Mobile,False,Electronics,2023-03-04
4,22,Male,Lalitpur,Medium,Desktop,True,Phone Accessories,2023-01-16
5,22,Female,Kathmandu,Low,Desktop,False,Beauty & Personal Care,2022-12-13
6,24,Male,Kathmandu,Medium,Mobile,True,Phone Accessories,2022-08-05
7,26,Male,Bhaktapur,Medium,Mobile,False,Beauty & Personal Care,2022-06-09
8,19,Female,Dharan,Medium,Desktop,True,Electronics,2024-04-27
9,23,Male,Kathmandu,Medium,Mobile,False,Phone Accessories,2022-05-16
10,22,Male,Butwal,Low,Tablet,False,Electronics,2023-10-18
11,27,Female,Kathmandu,Low,Mobile,False,Beauty & Personal Care,2022-02-19
12,27,Male,Kathmandu,Low,Mobile,False,Phone Accessories,2022-02-16
13,23,Male,Biratnagar,Medium,Mobile,False,Phone Accessories,2022-05-26
14,27,Male,Lalitpur,Low,Mobile,True,Phone Accessories,2022-12-06
15,24,Female,Kathmandu,Medium,Mobile,True,Electronics,2022-12-28
16,18,Male,Kathmandu,High,Desktop,False,Home & Kitchen,2024-02-25
17,22,Female,Bhaktapur,Medium,Desktop,False,Electronics,2022-02-11
18,25,Male,Lalitpur,Medium,Desktop,True,Phone Accessories,2024-05-21
19,19,Male,Lalitpur,High,Mobile,False,Phone Accessories,2022-11-05
20,22,Male,Hetauda,High,Mobile,False,Fashion,2024-04-26
21,24,Male,Kathmandu,High,Mobile,True,Phone Accessories,2023-10-14
22,30,Other,Kathmandu,Medium,Desktop,True,Beauty & Personal Care,2022-12-09
23,28,Female,Bhaktapur,Low,Desktop,False,Fashion,2023-11-29
24,19,Male,Pokhara,Medium,Mobile,False,Electronics,2023-03-09
25,20,Female,Lalitpur,High,Mobile,False,Electronics,2022-01-11
26,25,Female,Dharan,Low,Mobile,False,Phone Accessories,2022-09-06
27,18,Male,Dharan,High,Mobile,False,Fashion,2023-10-19
28,24,Female,Dharan,High,Desktop,False,Electronics,2023-06-13
29,25,Male,Kathmandu,Medium,Mobile,False,Electronics,2023-03-08
30,21,Female,Kathmandu,Low,Mobile,False,Beauty & Personal Care,2022-08-30
31,26,Male,Lalitpur,Low,Mobile,False,Fashion,2022-12-01
32,30,Female,Pokhara,Medium,Mobile,False,Phone Accessories,2023-06-07
33,26,Male,Kathmandu,Medium,Mobile,False,Sports & Fitness,2022-06-08
34,20,Female,Lalitpur,Low,Desktop,False,Sports & Fitness,2022-05-25
35,21,Female,Kathmandu,Low,Mobile,False,Phone Accessories,2023-08-14
36,18,Female,Kathmandu,Medium,Tablet,True,Phone Accessories,2022-05-31
37,25,Female,Biratnagar,Low,Mobile,False,Beauty & Personal Care,2023-07-12
38,25,Female,Dharan,Medium,Mobile,False,Beauty & Personal Care,2023-06-19
39,27,Female,Lalitpur,Low,Mobile,False,Electronics,2023-02-15
40,26,Male,Bhaktapur,Low,Mobile,True,Electronics,2022-03-09
41,22,Male,Bhaktapur,Medium,Mobile,False,Electronics,2023-12-15
42,27,Male,Bhaktapur,Medium,Mobile,False,Sports & Fitness,2024-04-13
43,18,Female,Kathmandu,Medium,Mobile,True,Sports & Fitness,2022-07-13
44,24,Female,Biratnagar,Medium,Mobile,True,Fashion,2023-08-12
45,30,Female,Kathmandu,High,Mobile,False,Beauty & Personal Care,2022-05-03
46,25,Male,Kathmandu,Low,Mobile,True,Electronics,2024-05-07
47,25,Male,Kathmandu,Medium,Mobile,True,Fashion,2023-04-01
48,26,Male,Pokhara,Medium,Mobile,False,Phone Accessories,2023-07-16
49,28,Female,Kathmandu,Low,Mobile,True,Phone Accessories,2022-10-26
50,24,Female,Pokhara,Low,Mobile,False,Phone Accessories,2022-04-19
